Prodct,Prodct Id,Question,Answer
Baby,B0000488W2,"What's the difference between this and the regular locking set (not the ""tot lok"" set)?",The locking mechanism unlocks with the magnet .
Baby,B0000488W2,Safety 1st Magnetic Tot Lok Deluxe Starter Set: Do these locks work on glass doors of the kitchen?,You must have some type of wood or some other way to affix the locks to your cabinetry. You might be able to with some very strong adhesive but screwing into wood is perhaps the best
Baby,B0000488W2,Safety 1st Magnetic Tot Lok Deluxe Starter Set: Do these locks work on glass doors of the kitchen?,"Unless the doors have a wooden frame (not too thick, ideal about 1 inch), don't think these will work"
Baby,B000056J7L,Are the two pieces made by hard plastic? No soft cushiony at all?,"Yes, both pieces are made of hard plastic. There are no soft, cushiony parts."
Baby,B000056J7L,Are the two pieces made by hard plastic? No soft cushiony at all?,The potty chair is hard plastic (both pieces).  There is soft small trim on the bottom to keep the from slipping.  FANTASTIC design for ease of use and cleaning.
Baby,B000056J7L,Are the two pieces made by hard plastic? No soft cushiony at all?,"Yes, but very roomy and comfortable."
Baby,B000056J7L,Are the two pieces made by hard plastic? No soft cushiony at all?,All hard plastic. No soft cushion.
Baby,B000056J7L,Are the two pieces made by hard plastic? No soft cushiony at all?,"They are both hard plastic, but the shape fits perfectly ."
Baby,B000056J7L,Is there a replacement white potty available to fit in this chair?,Not sure. Look on the company web site.
Baby,B000056J7L,does the removable insert of this potty chair stain easily?  Ie does it turn yellow because of the pee?,It doesn't stain if you wipe it out with something soft. DON'T use bleach (it reacts with the pee and creates a hard crust that doesn't come off) and DON'T use anything scrubby or abrasive (it will create a scratched surface that will stain and be hard to clean). As long as you use soft wipes it will clean easily for a long time.
Baby,B000056OUX,Would this work on the railings (?) going down the stairs on the angle or is this just for a straight across railing?,Yes that should work fine. You will just have a some extra at the end that you will need to tuck in.
Baby,B000056OUX,Would this work on the railings (?) going down the stairs on the angle or is this just for a straight across railing?,It will work on a railing going in a angle. It is a cloth material so you can place wherever you like on a railing.
Baby,B000056OUX,Would a cat be able to damage the netting with his claws (poke holes in it)?,"Yes, not to mention the strings dangle...cat attraction major!!!"
Baby,B000056OUX,Would a cat be able to damage the netting with his claws (poke holes in it)?,A cat would get their nails caught in it and rip it to shreds!
Baby,B000056OUX,"Would this product work for (townhome) railing going up the stairs to a second level, a gap in the bannister, and then stairs to a third level?","As the photo shows, it must attach to the top rail.  Since it is netting, it is flexible.  Don't know if this answers your question or not."
Baby,B000056OUX,How do you secure the bottom of the net?,"There are strings to attach the top, bottom,  and sides"
Baby,B000058DPL,does it work with the symphony pump?,"well,did you find out?"
