Prodct,Prodct Id,Question,Answer
Beauty,B000050FES,"How much wax (in pounds, for instance) does it take to fill this heater?",The item description says 6 pounds. It's included with the item.
Beauty,B006HI60EY,Does this smell like sunscreen?,"No, not at all."
Beauty,B000052YQ2,Is it visible once applied?,"No, not at all.  And the sunscreen in it doesn't give you a greasy look or feel either.  It's pretty great. :)"
Beauty,B000052YQ2,Is it visible once applied?,No of course not.
Beauty,B000052YQ2,Is it visible once applied?,"No, it isn't...."
Beauty,B000052YQ2,Is it visible once applied?,"no, you apply it just like another cream or lotion"
Beauty,B000052YQ2,Does it have titanium or zinc in it?,octinaxate  6% and zinc oxide % active ingredients
Beauty,B000052YQ2,When is the expiration date?,"That is going to depend on the individual bottle you get and it won't be the same for every lot, unfortunately."
Beauty,B0000532I0,How Is the product shiped? Is it secretive?,"Yes, the Depends come in a plain unmarked box   which has another plain box inside holding the Depends. Delivery is discrete."
Beauty,B0000532I0,How Is the product shiped? Is it secretive?,Yes. No indication as what is in box
Beauty,B0000532I0,what size waist do these fit?,it doesn't matter! no need to attach tabs - just spread out plastic tabs in underwear!  very absorbent - best wishes.
Beauty,B0000535VH,is it non-comedogenic (won't clog pores)?,"It is. In fact, it dissolves the dirt in your pores."
Beauty,B0000535VH,Is the color of this cream white or beige?,The color is white. It is a very nice soft creamy consistency.
Beauty,B0000535VH,does it contain lactic or glycol acid?,İt contains 10% of glycolic acid. it does not contain lactic acid.
Beauty,B0000535VH,does it contain lactic or glycol acid?,"This product does not contain glycolic acid. It is a retinol product. Here are the ingredients: Water, caprylic/capric triglyceride, emulsifying wax, glycerin, C10-30 cholesterol/lanost erol esters, cetyl alcohol, dimethicone, benzyl alcohol, cyclomethicone, retinol, tocopherol acetate (vitamin E), ascorbyl palmitate (vitamin C), acrylates copolymer, bisabolol, PEG-10 soya sterol, magnesium aluminum silicate, stearic acid, methylparaben, phenoxyethanol, BHT, disodium EDTA, polysorbate 20, triethanolamine."
Beauty,B00005A443,Does  this product operate both with electrical cord AND can be used also with battery?,no. only battery and does not give much light.
Beauty,B00005A443,Does  this product operate both with electrical cord AND can be used also with battery?,"It is battery operated only, and it drains the battery very quickly."
Beauty,B00005A443,Does  this product operate both with electrical cord AND can be used also with battery?,"No, just battery."
Beauty,B00005A443,Does  this product operate both with electrical cord AND can be used also with battery?,No electrical cord; just battery operated.
Beauty,B00005A443,does this come with an electric cord?,No battery operated. ..
Beauty,B00005A443,does this come with an electric cord?,"No it doesn't, just needs batteries"
Beauty,B00005A443,does this come with an electric cord?,No it's battery use 3 AA
Beauty,B00005A443,does this come with an electric cord?,No Cord.... only a battery operated light that doesn't work after about 5 times of use!
Beauty,B00005A443,does this come with an electric cord?,The description say it come with a 9 ft cord but reviews say no cord what up with that????
Beauty,B00005A443,Does it swerl all around??? (360 degrees),"Yes, it does. But the batteries run out very fast."
Beauty,B00005A443,Does it swerl all around??? (360 degrees),Yes it does the batteries do run down very fast.
Beauty,B00005A443,Does it swerl all around??? (360 degrees),"The stem into the bottom does not move; however, the mirror does turn from magnified side to non-magnified side."
Beauty,B00005V5OU,Is this price for 1 tube?,"Sadly YES it is.  Neutrogena stopped making and selling this wonderful product, so the remaining few are going for sky high prices.  Shame on you, Amazon!  Still looking for a ""tinted"" daily sun screen, no success."
Beauty,B000XDZVLC,"Does this come with a Nozelle, It is not seen in the picture on the WEB","Yes, it is under the cap."
Beauty,B000XDZVLC,is this uisex for women or men,Unisex = for both.
Beauty,B000XDZVLC,is this uisex for women or men,this is for both men and women
Beauty,B000XDZVLC,is this uisex for women or men,"It is actually just a little manly, probably could be unissex."
Beauty,B000XDZVLC,is this a real ck product?,Yes very much so.
Beauty,B000XDZVLC,the fragrance is lasting?,The fragrance is very lasting. .you will smell great and refreshing all day..
Beauty,B000XDZVLC,the fragrance is lasting?,For just few minutes!!!
Beauty,B000XDZVLC,the fragrance is lasting?,"Yea, it last longer in your clothes than on your skin"
Beauty,B000XDZVLC,"Is this a counterfeit? Also, does this bottle have a nozzle?",First question:  NoSecond question:  Yes
Beauty,B000XDZVLC,"Is this a counterfeit? Also, does this bottle have a nozzle?",No .  It is a spray
Beauty,B00006IV22,Is there some time when voltage adaptors DO work?,"There is a small screw on the hair dryer to turn when you go from US to Europe.  Then once you get to Europe, you must use an adaptor on the dryer plug before you plug into electric outlets there.  And yes, they do work!  If you don't use them, you'll fry your electronics!"
Beauty,B00006IV22,will this work in Dubai and India,The Conair 1875 Watt Dual voltage adapter will work anywhere but you will need an additional appropriate voltage adapter.
Beauty,B00006IV22,will this work in Dubai and India,i don't know.  you have to google if the wattage is the same in sweden (europe) and dubai and india.
Beauty,B00006IV22,Does this hairdryer work in Italy?,Yes but you need to get the right plug - you can buy those anywhere...
Beauty,B00006IV22,Will this hairdryer work in England?,"No, You will more than likely need to pick up an adapter.  As seen here: Travel Smart by Conair M-500E Polarized Adapter Plug Set"
Beauty,B00006IV22,how long is the cord?,About 5 feet +/-.
Beauty,B0000AFUTB,Is the stem adjustable?,As to heights? No. The mirror flips. Hope this helps.
Beauty,B0000AFUTB,Is the stem adjustable?,Stem is not adjustable...
Beauty,B000BPXZCY,Is this the same as silver lining,"No, it is not."
Beauty,B0000AFUTB,Is this mirror battery operated?,"no. it plugs in. if you zoom the picture of it, you can see the cord."
Beauty,B0000AFUTB,Is this mirror battery operated?,No it runs by electricity. It does have a bulb that will need to be changed whenever necessary
Beauty,B001RJBL7E,is it battery operated?,No. It is electric.
Beauty,B0000AFUTB,How is the clarity of the mirror?,Good quality mirror.... Both sides.  Well worth the expense!
Beauty,B0000AFUTB,"What is the diameter of the mirror part?  And, what is the total height?",The surface of the mirror is 6 1/4 inches wide. It has a lighted halo around the actual mirror.The total height of the mirror on the base is 15 1/4 inches. Mirror and frame was 8 1/2 wide.  Hope this helps.
Beauty,B0000AFUTB,"What is the diameter of the mirror part?  And, what is the total height?",Total height is 15 inches.  Mirror is 6-6 1/2 inches in diameter.  Magnification is great.
Beauty,B0000AFUTB,"What is the diameter of the mirror part?  And, what is the total height?","The dimension of the glass that is exposed inside the frame is 7.5"". The total height of the mirror is 15"""
Beauty,B0000AFUTB,"What is the diameter of the mirror part?  And, what is the total height?","* 8.5"" diameter * 15.5"" height"
Beauty,B0000ZHH5G,Does this come with a pump?,NO BUT THEY HAVE ONE WITH A PUMP
Beauty,B0000ZHH5G,how do you get pump to work?,Turn the pump counter clockwise to unlock it and take the plug out of the nozzle of it. Then you just have to pump it several times to pull the lotion up into the nozzle.
Beauty,B0000ZHH5G,Does VANICREAM Mositurizing Skin Cream contain Urea and what percentage?,"No, it does not contain urea."
Beauty,B0000ZHH5G,Does VANICREAM Mositurizing Skin Cream contain Urea and what percentage?,"The ingredients on the jar says composed of purified water, white petrolatum, sorbitol solution, cetearyl alcohol, propylene glycol, cete wreath-20, simethicone,glyceryl monostearate, polyethylene glycol monostearate, sorbic acid and BHT. She can google vanicream for more info"
Beauty,B0000ZHH5G,Does this cream have a sun protection factor?,"No, the sunscreen by the same brand is a separate product"
Beauty,B00D42CBE4,Does it have dual voltage?,No it does not.
Beauty,B0000ZHH5G,Does this cream have a sun protection factor?,No it does not have sun protection.
Beauty,B0000ZHH5G,Does this cream have a sun protection factor?,"This one does not. However, they do offer a product that does."
Beauty,B0000ZHH5G,Can you take the pump from the Vanicream with a pump and put it on this jar?,"Yes, they are interchangeable."
Beauty,B0000ZHH5G,Can you take the pump from the Vanicream with a pump and put it on this jar?,"Yes, but the pump doesn't always get everything out."
Beauty,B0000ZHH5G,Does it have BHT as an ingredient,yes it does have BHT in it.
Beauty,B0000ZHH5G,Does it have BHT as an ingredient,"Yes it does have BHT, so your choice in this product is dependent on which side of that debate you are on."
Beauty,B0000ZHH5G,Does it have BHT as an ingredient,"Yes, it's the last ingredient"
Beauty,B0000ZHH5G,Does it have BHT as an ingredient,"It is not listed on the label as an ingredient.  The label says it is free of dyes, lanolin, fragrance, parabens....."
Beauty,B0000ZHH5G,Does it have BHT as an ingredient,its got vanity and cream as ingredients the kind they make ice cream with its delicious
Beauty,B003GLH7VK,Do you need special products to remove this?,"Nope, just nail polish remover, but be through, because some can get left behind because it's clear and hard to see."
Beauty,B003GLH7VK,Do you need special products to remove this?,No. Just nail polish remover.
Beauty,B003GLH7VK,What's the difference between the two OPI START TO FINISH products besides one is $10.02 & the other is $8.15.,They very in price depending on the seller
Beauty,B003GLH7VK,What's the difference between the two OPI START TO FINISH products besides one is $10.02 & the other is $8.15.,"Different vendors/ have different prices/ some have free shipping / others , you pay a hefty price for shipping/Free Market! Check your price and mode of delivery... And you have the freedom of choice!"
Beauty,B003GLH7VK,What's the difference between the two OPI START TO FINISH products besides one is $10.02 & the other is $8.15.,This one is star to finish -3-in-1. Top coat & base coat & strengthener.
Beauty,B00HHR0SYW,Does the acid ingredient burn like an acid peel?,"No, not at all"
Beauty,B003GLH7VK,Do you need the ultraviolet light to dry this properly?,No it is just a polish base and top coat will air fry fine
Beauty,B003GLH7VK,Do you need the ultraviolet light to dry this properly?,"Not at all, air dry works just fine, it's just like nail polish in the way it dries."
Beauty,B003GLH7VK,How would you use this product if you also wanted to use a colored polish?,"First apply this product, then apply colored polish of your choice, then apply another layer of this product."
Beauty,B003GLH7VK,"If this product doesn't work well on real nails, is there an OPI all in one that does?",If it wasn't for real nails it wouldn't have nail strengthener
Beauty,B003GLH7VK,"If this product doesn't work well on real nails, is there an OPI all in one that does?",it works perfectly well with real nails
Beauty,B00014DMQE,Does your skin gets darker before it peels?,"No, it did not get dark nor did it peel."
Beauty,B00014DMQE,Can this product be used on your face?,Yes it can.  Just make sure to use sunscreen and don't use it when you go outside(in the sun) because it is an acid treatment. You can use it once daily at night. This treatment is for hyperpigmentation and aged skin. Don't use any other treatments with this. Use a mild facial cleanser as well.
Beauty,B00014DMQE,How long should you use the 5% cream before moving up to this 10% one?,"i don't know, but i saw no results from using this, so have not used it again.  quite a disappointment."
