Prodct,Prodct Id,Question,Answer
Grocery_and_Gourmet_Food,B0000CFN0Y,what are the colors that come in the package?,"All colors seen on box plus Teal, Burgundy, Black, Brown, and Copper. No white"
Grocery_and_Gourmet_Food,B0000CFN0Y,what are the colors that come in the package?,"The following are the colors listed on the box:Lemon YellowGolden YellowPink""No-Taste"" RedBurgundyVioletRoyal BlueTealKelly GreenCopperBrownBlack"
Grocery_and_Gourmet_Food,B0000CFN0Y,what are the colors that come in the package?,"Brown , black, blue, green , yellow, gold, pink , red, purple, teal, orange, ......"
Grocery_and_Gourmet_Food,B0000CFN0Y,what are the colors that come in the package?,"Hi, the ones mentioned by Cynthia as well: Lemon Yellow; Golden Yellow; Pink; ""No-Taste"" Red; Burgundy; Violet; Royal Blue; Teal; Kelly Green; Copper; Brown; Black."
Grocery_and_Gourmet_Food,B0000CFN0Y,what are the colors that come in the package?,"yellow lemon, golden yellow, pink, ""no taste"" red, Burgundy, violet, royal blue, teal, kelly green, copper, brown and black"
Grocery_and_Gourmet_Food,B0000CFN0Y,Can you did store brought frosting with this if you purchased a vanilla or cream cheese favored frosting?,yes you can use store bought frosting or make your own frosting.
Grocery_and_Gourmet_Food,B0000CFN0Y,Can you did store brought frosting with this if you purchased a vanilla or cream cheese favored frosting?,Yes it doesn't have to be homemade. So of the colors you will have to use a little bit more color to get the color on the box
Grocery_and_Gourmet_Food,B0000CFN0Y,Can you did store brought frosting with this if you purchased a vanilla or cream cheese favored frosting?,"Hi, hello. Yes you can."
Grocery_and_Gourmet_Food,B0000DCWX1,difference between meat cure and pickling salt,They are both sodium chloride but some salt to cure with has a mixture of sodium nitrate .
Grocery_and_Gourmet_Food,B0000DCWX1,Does this have the pinkish color added?,"No, not added, but it keeps your meat a beautiful pink."
Grocery_and_Gourmet_Food,B0000DCWX1,Does this have the pinkish color added?,This doesn't. It is white and really just looks like salt.
Grocery_and_Gourmet_Food,B0000DCWX1,Does this have the pinkish color added?,"Mike there is no punk color ,it's works great   J"
Grocery_and_Gourmet_Food,B0000DCWX1,Does this have the pinkish color added?,"No, it's as white as snow....."
Grocery_and_Gourmet_Food,B0000DCWX1,Do you use the Mortons tender quick to add to sausage when you are makeing it and smoking it? How much would you use if you do?,"1/2 TBSP per pound of meat, and omit any additional salt from your recipe."
Grocery_and_Gourmet_Food,B0000DHXGL,In what country are these almonds grown?,According to their website these almonds are imported from Italy and they are not pasteurized.
Grocery_and_Gourmet_Food,B0000DHXGL,"Are these almonds organic?  The description on Amazon says Organic, but it doesn't seem that the package says it...",They are advertised as organic. Really cannot determine if they are organic except take the word of the seller. Also not sure how critical organicis related to almond which grow in a very hard shell.
Grocery_and_Gourmet_Food,B0000EIEQU,Are these the key limes that are about 1 inch in circumference and turn yellow?,Yes. They are wonderful.
Grocery_and_Gourmet_Food,B0000EIEQU,Are these the key limes that are about 1 inch in circumference and turn yellow?,"Yes, tiny limes that turn yellow when fully ripe."
Grocery_and_Gourmet_Food,B0000EIEQU,Do you know about how many key limes comes in the 5 lb bag?,Many. At leAst 40. Perhaps 50
Grocery_and_Gourmet_Food,B0000EIEQU,Do you know about how many key limes comes in the 5 lb bag?,They were small; there were c. 40 - 60 in the bag.  A lime press (like a nut cracker) makes it much easier.
Grocery_and_Gourmet_Food,B00014D37W,Is this un-refined and does it smell like coconut oil?,This is refined and doesn't have much of a smell at all.
Grocery_and_Gourmet_Food,B00014D37W,Is this un-refined and does it smell like coconut oil?,"It is refined and  does not smell like coconutoil. The toxic process of ""refining"" took out the smell."
Grocery_and_Gourmet_Food,B00014D37W,Is this un-refined and does it smell like coconut oil?,Hi Sana. Yes it smells and taste like coconut oil.
Grocery_and_Gourmet_Food,B00014D37W,Is this un-refined and does it smell like coconut oil?,Yes it smells and taste like coconut oil.
Grocery_and_Gourmet_Food,B00014D37W,is this a glass jar?,Yes it's a glass jar.
Grocery_and_Gourmet_Food,B00D0GM22K,Is each seaweed individually wrapped in plastic?,"Yes, it is."
Grocery_and_Gourmet_Food,B00014D37W,Is this refined or unrefined?,It's refined! Hope that helps.
Grocery_and_Gourmet_Food,B00014D37W,Is this refined or unrefined?,"It has no taste or coconut smell, it's less expensive at Target then on amazon."
