Prodct,Prodct Id,Question,Answer
Musical_Instruments,B000068NZC,how long is this cord? the pictures looks like its only a couple inches?,"On the same ordering page you can select cord lengths of 1 foot, 5 feet or 15 feet, all at very reasonable prices."
Musical_Instruments,B000068NZC,how long is this cord? the pictures looks like its only a couple inches?,It's over a foot long. works ok.
Musical_Instruments,B000068NZC,Will this work to connect a RODE NTG2 shotgun mic to a standard Nixon DSLR?,"Sorry, this is an issue that can only be determined by looking at the equipment you mentioned."
Musical_Instruments,B000068O59,Has anyone used this to split a stereo signal?  Want to use with the AT2022 mic--which uses a stereo 3-pin XLR output.  Appreciate any info!,"This cable just splits mono into two mono signals.  The AT2022 should come with a XLR-TRS 1/8"" cable for use with your camera or small field recorder."
Musical_Instruments,B000068O59,Has anyone used this to split a stereo signal?  Want to use with the AT2022 mic--which uses a stereo 3-pin XLR output.  Appreciate any info!,stereo when both are used together
Musical_Instruments,B000068O59,how long is this cable?,"Between the adapters, there is probably 2.5inches of cable.  So in total, if laid out straight, it would be about 8inches."
Musical_Instruments,B000068O59,how long is this cable?,The cable is aprox 8 inches long.
Musical_Instruments,B000068O59,is this a digital cable,"It is not a digital cable. It is an xlr connector, which is an analog microphone audio connector."
Musical_Instruments,B000068O59,is this a digital cable,"No, analog. It's XLR balanced"
Musical_Instruments,B000068O59,is this a digital cable,"No, isn't.It's a anolog ""Y"" balance splitter with left,right and ground signal."
Musical_Instruments,B000068O59,Does this send Stereo Signal? If it dosen't can it?,This is not a gadget with buttons. It is a splitter. It takes one signal and makes it two. What you do with the signal on the other end depends on the boxes with buttons.
Musical_Instruments,B000068O59,Does this send Stereo Signal? If it dosen't can it?,"Good affordable cables, they do the work as advertised"
Musical_Instruments,B000068O59,Does this send Stereo Signal? If it dosen't can it?,Does your stereo have xlr then yes if not then no.
Musical_Instruments,B00006JPD5,"The description text says ""9 volt battery""; the specs section says AAA battery! Which is it?","It's a 9-volt...which seems a bit weird, you'd think they would standardize with something like a AAA, but it seems to last quite long!"
Musical_Instruments,B00006JPD5,Can one go from the receiver directly to a powered speaker -or- does one need an amplifier between the receiver and the speaker?,It will need an amplifier unless speaker has built-in amplifier
Musical_Instruments,B00006JPD5,Can the receiver be plugged into a computer's audio input port (possibly with adapter) to provide best sound for a web conferencing solution?,"If your computer has  ""mic in"" NOT ""line in"" port, it should theoretically work (it's got a standard 1/8"" headphone style wire on it).  But the low quality of most ""mic in"" ports along with the fairly low quality of this microphone may not produce stellar results."
Musical_Instruments,B00006JPD5,What's the length of the microphone cable - transmitter to mic?,"Very short. 10 cm or 4"" probably"
Musical_Instruments,B00006JPD5,can i connect this to a speaker for teaching?,Yes you can connect this Mic to a speaker with built-in amplifier
Musical_Instruments,B00006JPD5,can i connect this to a speaker for teaching?,"Yes, if the speaker has a 3.5 mm headphone jack port (standard headphone size)."
Musical_Instruments,B00009J580,Is this good for kids?,Perfect - bought it as a birthday present for an eight year old girl and a year on it's still going strong.
Musical_Instruments,B00009J580,Is this good for kids?,It is perfect for kids age 8 to about 11 years old.
Musical_Instruments,B00009J580,is this a left handed guitar,Or you could just go for Jimi Hendrix mode -- turn it upside down and string it in reverse order for left-handed playing :-)
Musical_Instruments,B00009J580,is this a left handed guitar,i wouldn't say it is just left handed
Musical_Instruments,B00009J580,Does this guitar come with the appropriate fittings for attaching a strap? Thank you.,"Yes, it has fittings for a strap.  This is a very nice small guitar for the money.  Hard to do better for the price."
Musical_Instruments,B00009J580,Does this guitar come with the appropriate fittings for attaching a strap? Thank you.,Yes it does. Strap pin on bottom and at neck heel.
Musical_Instruments,B00009J580,Is this guitar big for 6 year old?,No. Should be a good guitar for that age.
Musical_Instruments,B00009J580,Is this guitar big for 6 year old?,This would be good for 6yrs old!
Musical_Instruments,B0000YTJ1W,How many keys does it have,Not a full keyboard.  It only had 76 keys.  A solid first starter for a kid though.
Musical_Instruments,B0000YTJ1W,How many keys does it have,i bought this to later after christmas find out it was only the stand. no keyboard came with this item.
Musical_Instruments,B0000YTJ1W,How many keys does it have,It has 76 keys.
Musical_Instruments,B0000YTJ1W,Will this stand fit the Yamaha DGX620?,"From the Yamaha FAQ page: ""Yes, the LW-16 is compatible and is the recommended furniture style stand for the DGX-230 and YPG-235. (Manual, Page 116.)"""
Musical_Instruments,B0000YTJ1W,Will this stand fit the Yamaha DGX620?,"From the Yamaha.com FAQ page: ""The YPG/DGX stand is not sold as a separate item."" So does that mean you have to buy a whole new DGX620 if the stand breaks? Dang...."
Musical_Instruments,B0002BACB4,does this beta 58a microphone have a switch to turn it on and off?,"Like most professional microphones, it does not. Most audio engineers do not want a switch as it introduces another point of confusion during a production (why no sound? Did the talent flip the switch? etc). If you absolutely need a switch for a special application, there are microphone cables with build in switches."
Musical_Instruments,B0002BACB4,does this beta 58a microphone have a switch to turn it on and off?,"No, it doesn't, but neither does its predecessor, the SM 58.  There's a different model number for the one with the switch, but remember; a switch is convenient, but it's also a failure point.  Better to mute at the board if you have one than to mute at the mike."
Musical_Instruments,B0002BACB4,does this beta 58a microphone have a switch to turn it on and off?,no it doesn't.
Musical_Instruments,B0002BACB4,does this beta 58a microphone have a switch to turn it on and off?,This mic is phantom powered and does not have an on/off switch.
Musical_Instruments,B0002BACB4,Is this BETA 58A also good for recording instruments such a guitar? ISH.,The Beta 58 is great for recording instruments as well as a great mic for vocals. Nice smooth frequency response.
Musical_Instruments,B0002BACB4,Is this a UHF wireless microphone?,"No, see photos."
Musical_Instruments,B0002BACB4,Is this a UHF wireless microphone?,"No,This is a wired Unit!"
Musical_Instruments,B0002BACB4,Is this a UHF wireless microphone?,no.  you'll need a cable.
Musical_Instruments,B0002BACB4,Is this a UHF wireless microphone?,"Nope, had to purchase a cable. It works like a charm though :)"
Musical_Instruments,B0002BACB4,can it be connected with PC,"This is a standard low impedance analog output. You will need a soundcard with a microphone preamp commonly called an interface. For example, the Focusrite Scarlett 2i2"
