Prodct,Prodct Id,Question,Answer
Pet_Supplies,B00006H371,Does this product kill ticks also,"No, it does not. It is highly specific for fleas."
Pet_Supplies,B0000B3BVA,can this product be used on humans,"Yes.  Like a lot of bandages, it does contain latex.  Human patients with latex sensitivity may have a reaction (e.g. a rash) to the bandage."
Pet_Supplies,B0000B3BVA,what is the width? This seller has many different offerings for the same product with different prices!,The width is 4 inches.
Pet_Supplies,B0000B3BVA,What type of fabric is it made of?,"A stretchy, elasticized ""paper"" that sticks only to itself. Unwraps cleanly for re-use."
Pet_Supplies,B0000B3BVA,What type of fabric is it made of?,Stretchy self-adhering.  It does not feel like cloth or elastic or fleece.  Some man made product.  Great to put over a bandage or pad to hold in place.
Pet_Supplies,B0000B3BVA,Does this stick to fur?,"No it will release from fur.  Its a slightly more tacky version of an ace bandage, without glues or adhesives needed.  Sticks to itself through design plastic-wrap materials."
Pet_Supplies,B0001AB42C,What size is this product???????,"Standard size is 16x30---also comes in a longer, narrower dimension for use on sofas, etc."
Pet_Supplies,B0001AB42C,"the small is truly just 4"" wide??  so where do people use it?   not on furniture?",generally in front of doorways
Pet_Supplies,B0001AB42C,"the small is truly just 4"" wide??  so where do people use it?   not on furniture?",On any place you want to keep your cat from jumping up on or lying on...
Pet_Supplies,B000255MSS,Can this be used for goldfish?,Yes. Goldfish and koi can tolerate this treatment. Follow instructions.
Pet_Supplies,B000255MSS,How quickly does this ship?,Usually Withing 24 hours.
Pet_Supplies,B000255MSS,safe for planted aquariums?,This product is a mix of formalin and malachite green - these are both toxic. It is not safe for freshwater or saltwater plants or inverts. It will also kill your biological filtration and is damaging to refugium contents. This medicine should be used in a hospital tank and should not be overdosed.
Pet_Supplies,B000255O9A,is the dimensions 30in x 12in?,"No, it is 29in x 9.5in. If you have an aquarium with a 30x12in top, then it will fit it. It is 9.5in in width because it needs to be able to accommodate a in the tank and it is less than 30in so it could sit on the tanks edge lips."
Pet_Supplies,B000255O9A,is the dimensions 30in x 12in?,No it's 30 by 10 for the 20 long gallon tank.
Pet_Supplies,B000255O9A,Is this designed/sized for Tetra retangular glass aquariums?,"Yes, aquariums 30 inches long."
Pet_Supplies,B000255O9A,How to adjust the glass so it fits the filter. Anybody make a youtube video?,the back end is a plastic attachment. You can cut out where you wish to fit the filter.
Pet_Supplies,B000255O9A,How to adjust the glass so it fits the filter. Anybody make a youtube video?,The glass doesn't reach all the way to the back wall of the tank top opening.  The last few inches are closed off with a plastic attachment to the glass lid - allowing you to cut out around where your filter rests.
Pet_Supplies,B000255O9A,How to adjust the glass so it fits the filter. Anybody make a youtube video?,Included with this glass canopy are strips of plastic that slide onto the back of the glass. These strips can be cut to size so that they fit around a hang on filter.
Pet_Supplies,B000255O9A,does this fit 30 gal long tank,"The lid will fit tanks that are 30""L x 12""W."
Pet_Supplies,B0002564VC,what is the height of the box not including the handle?,probably about four the whole thing is less than six
Pet_Supplies,B0002564VC,what is the height of the box not including the handle?,3 or 4 inches. It works great.
Pet_Supplies,B0002564VC,what is the height of the box not including the handle?,"about 2 ""; the top holds one inch plastic filter if wanted"
Pet_Supplies,B0002568HW,will this part work on 305......305 aquastop valve,"It should The description says 105-405 Series & ribbed hose,  it should work fine.  Ask seller for part maf part # &  contact http://usa.hagen.com/Aquatic/Replacement-Parts?brand=Fluval if you want to cross reference"
Pet_Supplies,B000256EKS,are you suppose to rinse the cartridge before putting it into the filter?,Yes! A quick rinse to get ride of the carbon dust.
Pet_Supplies,B000256EKS,are you suppose to rinse the cartridge before putting it into the filter?,No need to rinse the filter before use BUT just be sure you prime the filter with water before you plug it in.
Pet_Supplies,B000256EKS,Will this fit a penguin 350? (4 elements),"NO, the 350 appears to use the ""C"" size cartridge"
Pet_Supplies,B000256EKS,are the filters wrapped in plastic in the 6 pack box or are they just in the box?,"They are just packed closely in a six pack box, not wrapped in plastic. They work really well."
Pet_Supplies,B000256EKS,are the filters wrapped in plastic in the 6 pack box or are they just in the box?,There are not individual wrapped.  There really do not need to be.  There work fine for us.
Pet_Supplies,B000256EKS,"It says change every 2-4 weeks. What if the blue part gets too covered in green gook, is it OK to rinse that off and keep using it for the remainder?",that`s what i do.my filter came with refillable cartridges that i put filter floss in and put them in front of the filter cartridges in the back of the filter and that seems to keep the green gook to a minimum. i change the cartidges every month or so
Pet_Supplies,B00027466A,How is this different from the regular canine hardware travel bed?,Very close to same. Some color might be different but same quality.  They have them under four names.
Pet_Supplies,B00027466A,How much does it weigh?,about 2 to 2.5 pounds all rolled up.
Pet_Supplies,B00027466A,does the stuff sack have a carrying handle of any kind?,Hi there's a draw string with a little friction line lock so you can pull the opening closed and carry it with the string kind of like sleeping bags have.
Pet_Supplies,B0002A5VIY,/how does this compare to eheim substrat pro?,"the matrix has a larger surface area to grow your bacteria colonies. it supports anaerobic, aerobic, and faculttive bacteria growth. if you spike its growth with seachems stability it works great."
Pet_Supplies,B0002A5VIY,How does Seachem Matrix compare with Seachem Denitrate?,"According to the seachem page for denitrate, it should only be used in lower flow applications where flow is less than 50 gph (200 lph). If higher flow rates are present it will not work to denitrify the water and matrix should be used."
Pet_Supplies,B0002A5VIY,How does Seachem Matrix compare with Seachem Denitrate?,matrix has the most surface area for BB to grow ... denitrate is like a cross between purigen and matrix  an organic absorbent porous for BB to grow material but not as good for BB as matrix  still a nice twist
Pet_Supplies,B0002A5VIY,How does Seachem Matrix compare with Seachem Denitrate?,Do not Know.  Only used matrix
Pet_Supplies,B0002ABR5K,Grizzly Pet Products' website states there IS rosemary in it.  Is there another version of the oil that is not on the website?,The grizzly Pollock oil does not have rosemary listed in the ingredients.
Pet_Supplies,B002CZLPBO,does this model have a automatic bark controller,"No, it does not."
Pet_Supplies,B0002ABR5K,What is the nutritional content of this?,Crude fat - 99.9%Moisture - 0.1%Omega 3 Fatty Acid - 29.0%      DHA -11.0%      EPA - 10.0%Omega 6 Fatty Acid - 3.0%
Pet_Supplies,B0002ABR5K,What is the nutritional content of this?,"It is composed of various fats, including large amounts of omega 3 and omega 6. The largest percentage is that of the omega 3 essential fatty acids. This is wild salmon oil."
Pet_Supplies,B0002ABR5K,What are the ingredients?  Does this one have rosemary?,"Per bottle info: wild Alaskan salmon oil 29% omega 3 Fatty acids (DHA 11%,EPA 10%), Omega 6 Fatty acid 3%, no rosemary, it is for cats."
Pet_Supplies,B0002AL6U6,Can this be used for goats?,Possibly smaller or baby goats. Depends on size of pill. This item fits a med. to large human size pill or capsule. Most farm animal pills are too large.
Pet_Supplies,B0002APVTS,will this wor for a 10 gal tank?,Yes it fits standard ten gallon tanks. It fit out ten gallon perfectly. And works great.
Pet_Supplies,B0002APVTS,will this wor for a 10 gal tank?,No this will be too big for a 10 gallon tank
Pet_Supplies,B0002APVTS,will this wor for a 10 gal tank?,No. It is for the standard sized 20 gallon tank.
Pet_Supplies,B0002AQ2HS,how does it attach to cage,"You can't see because of the label, but the upright side is hooked so you just hang it on the horizontal bars to the cage."
Pet_Supplies,B0002AQ2HS,Is it made in China?,"Yes, it's made in China"
Pet_Supplies,B0002AQ2HS,What is the exact spacing of the horizontal bars?  Thank you for your help.,3/4 of an inch on both sizes of sun decks
Pet_Supplies,B0002AQ2HS,What is the exact spacing of the horizontal bars?  Thank you for your help.,not sure just put them in the cages.I like them very much
Pet_Supplies,B0002AQ2HS,Would this be the appropriate size for a Senegal parrot?,yes it was thank you
Pet_Supplies,B0002AQCN2,What's better? This rather large heat rock or say the medium ZM Under Tank Heater used with the Zilla Green Terrarium Liner?,This rock is not really that big.. But the answer to your question more depends on what kind of pet you want it for. The thermostat on the rock is nice tho
Pet_Supplies,B0002AQCN2,How many watts is it?,i believe it is a 60 Watt bulb
Pet_Supplies,B0002AQXV8,Do these have to be upright or can they lay on their side during use? Thanks,They have to be upright.  The way it works is the tank water comes In at the bottom & goes up through the media & out & back to the tank through the pump in the top.
Pet_Supplies,B0002AQXV8,Do these have to be upright or can they lay on their side during use? Thanks,Other than the designer relying on gravity to hold the filter materials in place? There doesn't appear to be any reason why horizontal operation would fail.
Pet_Supplies,B0002AQXV8,Can this product be used with a 20 or 55 gallon tank?,a 55 gallon tank..  a 20 might be overwhelmed by the flow.
Pet_Supplies,B0002AQXV8,"Is there a warranty and is it a complete kit, (cannister, filter, etc.)?","This unit does come with a two year manufacturer warranty. The unit is the complete kit, it comes with the cannister media and tubing, ready for setup."
Pet_Supplies,B0002AQXV8,"Is there a warranty and is it a complete kit, (cannister, filter, etc.)?","Yes, warranty and complete, ready to go kit. The only ""odd"" thing on set up is you should cut off two small pieces off tubing (from what they provide) to connect the spray arm and intake. Really no bug deal. This filter is awesome....worth the money."
Pet_Supplies,B0002AQXV8,What kind of pump does this filter require?,"None, this filter has a built in pump to keep water circulating through."
Pet_Supplies,B0002AQXV8,What kind of pump does this filter require?,Each filter has an internal pump house in it's too portion.
Pet_Supplies,B0002AQXV8,What kind of pump does this filter require?,Pump is built in. Everything you need is in the box.
Pet_Supplies,B0002AQXV8,What kind of pump does this filter require?,It doesn't require an additional pump.  The top of the canister has a built-in pump.  It's all you need.
Pet_Supplies,B0002AQXV8,What kind of pump does this filter require?,The Eheim Classic series of canister filters each contain a nice pump built into the top of the unit.  These pumps are silent and run cool.  They can be cleaned when the filter is disassembled for cleaning.
Pet_Supplies,B0002AQXV8,Does the 2215 come with the double tap quick release valves?,Yes.  Quick release connections for both the supply and the return lines.
Pet_Supplies,B0002AQXV8,Does the 2215 come with the double tap quick release valves?,"Not sure about what its called, but it comes with two sets of quick release valves. One for the out port and one for the in. The canister comes complete, with media to get started right away. Richard"
Pet_Supplies,B0002AQXV8,Does the 2215 come with the double tap quick release valves?,Yes !!!!  Absolutely. Yes. Is the best canister as you can buy (by the way).
Pet_Supplies,B0002AR0I8,"Amazon sellers rarely show where any product is made. Why? Kong products can be USA or China, always have to check. Think this 1 is USA.","Kongs are manufactured by The Kong Company in Golden, Colorado."
Pet_Supplies,B0002AR0I8,Can you put dog food in this or will it just fall out?,It will fall out unless you put it in with something sticky like cream cheese or peanut butter
Pet_Supplies,B0002AR0I8,Does this product contain any plastic? What material is it made up of?,"No plastic, just rubber."
Pet_Supplies,B0002AR0I8,Does this product contain any plastic? What material is it made up of?,It is made of a durable rubber.
Pet_Supplies,B0002ARLYQ,How do you put it on the rabbit? What do the 3 front loops go around?,"Just like the above picture. Hod the harness so the tighten mechanism is on the back of his neck. You should have 2 loops on the bottom. Place one of the loops in back of his front paws & the other in front of his paws so it's around his neck , then tighten so it fits."
Pet_Supplies,B0002ARLYQ,How do you put it on the rabbit? What do the 3 front loops go around?,There shouldn't be 3 front loops. It goes on just like the picture shows. The plastic adjuster piece goes on top of the shoulders and the small plastic bead sits on their chest area between the front legs.
Pet_Supplies,B0002ARU1A,Is it made in us,This is made in China-but it is of good quality and it still is working.
Pet_Supplies,B0002ARU1A,What does it say when it talks?,"It makes a mechanical bark then pants, then barks again."
Pet_Supplies,B0002ARU1A,What does it sound like?,"kind of barks like yip, yip, yip"
Pet_Supplies,B0002AS5BE,Can you use a timer with this hood or is it the type that requires holding down a button to light up?,With this particular hood you can use a timer.
Pet_Supplies,B0002AS5BE,Can you use a timer with this hood or is it the type that requires holding down a button to light up?,You push the button down to turn on n off
Pet_Supplies,B0002AS5Z0,does it come with the light bulb? it does not specify,Yes. Just a standard bulb. For fish or reptiles switch it out for a uva/uvb bulb or plant bulb
Pet_Supplies,B0002AS5Z0,does it come with the light bulb? it does not specify,Yes the light does come with a bulb...enjoy
Pet_Supplies,B0002AS5Z0,does it come with the light bulb? it does not specify,"Yes, the hood does come with a light bulb."
Pet_Supplies,B0002AS80C,"i have a 55 gal bow front, it is 36 inches long, 15 inches  wide at the bow and 11 1/2 on the edge. Am i measuring at the correct spots & will it fit?",Do you want the bow part of the tank to be covered? The glass cover is a rectangle and doesn't have a curve in it for the bow.
