answerId,vote,count
1di95ns4t5j79800,1,1
1di8a00tnh3qj801,1,1
1di3lq3uth42n802,1,1
1dhug1no05nba801,1,1
1dhucmc35h3ub800,1,1
1dhu7pjb95j6o800,1,1
1dhu6vhvnh3ub800,1,2
1dhu6vhvnh3ub800,0,1
1dhrmmgkq5nfr800,1,1
1dhr31nsc5nfr804,1,2
1dhpiql425nba800,1,6
1dhnilapph3ub800,1,1
1dhm0t7ke52so801,1,1
1dhkjakdm5nb2800,1,2
1dhid2cs55nb2800,1,1
1dhhasbe8h3lm800,1,1
1dhh26t9r5nb2800,-1,1
1dhdt9as2b82g800,1,1
1dhda2ae55j67800,1,3
1dhd9ia5k5nai800,1,3
1dhd782rkh45f800,1,1
1dhb94j6lh3pk800,1,1
1dhaqb57ph3lg800,1,2
1dh98cht95nfa803,1,2
1dh91j5jch420800,-1,1
1dh91j5jch420800,1,1
1dh8011gd5nfa800,1,2
1dh6vm5bjb86a800,1,1
1dh5j6mhih3th800,1,1
1dh5htt660kbg000,1,1
1dh4ug3tph3j2800,0,1
1dh4si0r5h420800,1,2
1dh3j0qbih420801,1,10
1dh3itctah3lg800,1,2
1dh1rnkbkb826800,1,1
1dh1rnkbkb826800,-1,1
1dh1lu35kh3pe800,1,1
1dgvpmtavh41q800,1,1
1dgujnh3gh41q800,1,4
1dgsqq90lh44v801,-1,1
1dgshqqcah3hg800,1,1
1dgrrvccjb899800,-1,1
1dgrrvccjb899800,1,1
1dgrc2ug252tu800,1,4
1dgqlc0al5n90800,1,5
1dgqi65sq5n90800,-1,1
1dgm52kdq5nde800,1,7
1dglvhptnh3hg800,1,1
1dgk5mskoh41g800,1,6
1dgja22vb52tu800,-1,1
1dgj344qm5nde800,1,1
1dgj0r94pb85o800,1,1
1dgivdeqr5n90800,-1,4
1dghbl43kb81r800,0,1
1dgh7rsbo5n90800,0,1
1dggsf82824ev004,1,1
1dggou21l24fe000,-1,1
1dgg7tep5h3gi800,0,1
1dgg0b0lvh40j800,1,6
1dgfqt16u24ev000,1,3
1dgfnicd35n8i800,1,10
1dgejcooc5j4l800,1,8
1dgehtppvb84r803,-1,1
1dged1jllh40j800,-1,1
1dgecbduf24fu000,1,3
1dge85umuh3gi800,1,1
1dgdss6um24fu000,1,1
1dgdger1c24gu000,1,2
1dgd9ljqs5n8i800,1,2
1dgd51lb15ncu800,-1,1
